id	authors	year	title	journal	doi	pmid	language	languageGroup	country	recordType	recordTypeCode	caseShape	caseCount	caseCountNumeric	accessCode	accessLabel	publicLinkUrl	coConsciousness	amnesia	amnesiaDirectionality	voluntarySwitching	treatmentGoal	outcome	diagnosticDelayYears	psychosisPriorOrDifferential	moodPriorOrDifferential	bpdPriorOrDifferential	childAlters	oppositeSexAlters	nonHumanAlters	bilingualAlters
NLD_009	Bachrach, N., Rijkeboer, M.M., Arntz, A., & Huntjens, R.J.C.	2023	Schema therapy for Dissociative Identity Disorder: a case report	Frontiers in Psychiatry	10.3389/fpsyt.2023.1151872	37151967	English	English-language sources	Netherlands	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2023.1151872/full	not_stated	yes	not_stated	not_stated	trauma_processing	improved_functioning		no	yes	yes	yes	not_stated	not_stated	not_stated
NOR_001	Herner LB et al.	2021	Dissosiativ identitetsforstyrrelse i utredning av barn og ungdom	Tidsskrift for Norsk psykologforening 58(8):672-680			Norwegian	European and Latin-script non-English	Norway	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	yes	unclear	not_stated	safety_or_stabilization	not_stated		no	no	no	not_stated	not_stated	not_stated	not_stated
PHL_001	Coru_a, J. Jr.	[year unknown]	IRIS A Case Report on Dissociative Disorder	[unpublished/HERDIN]			English	English-language sources	Philippines	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		not_stated	not_stated	not_stated	not_stated	safety_or_stabilization	improved_functioning		no	no	no	not_stated	not_stated	yes	not_stated
POL_001	Tomalski, R., & Pietkiewicz, I.J.	2019	Rozpoznawanie i roznicowanie zaburzen dysocjacyjnych ― wyzwania w praktyce klinicznej	Czasopismo Psychologiczne			Polish	European and Latin-script non-English	Poland	Case report	case_report	Large Case Series	0	0	restricted_local_source	Restricted local full text on file		not_stated	not_stated	not_stated	not_stated	not_stated	not_stated		no	no	no	not_stated	not_stated	not_stated	not_stated
POL_004	Orlof W, Rozenek EB, Waszkiewicz N, Szewczak B.	2021	Dissociative identity (multiple personality) disorder in Poland: a clinical case description and diagnostic difficulties	Postepy Psychiatr Neurol (Post?py Psychiatrii i Neurologii)	10.5114/ppn.2021.110804	37082766	English/Polish	Other languages	Poland	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://pmc.ncbi.nlm.nih.gov/articles/PMC9881634/	partial	yes	asymmetric	not_stated	safety_or_stabilization	not_stated	8	yes	no	no	not_stated	yes	not_stated	not_stated
POL_003	DID Psychodynamic Perspective authors (Medical University of Bialystok)	2024	Dissociative Identity Disorder (DID) from a Psychodynamic Perspective ― A Case Report	Preprints.org (preprint)			English	English-language sources	Poland	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		partial	yes	unclear	not_stated	integration_or_fusion	integration_or_partial_integration		yes	no	no	not_stated	yes	yes	not_stated
POL_005	Orlof W, Solowiej-Chmiel J, Waszkiewicz N.	2025	Selected Aspects of Diagnosis and Therapy in Dissociative Identity Disorder (DID) - Case Report	Journal of Clinical Medicine	10.3390/jcm14082617	40283447	English	English-language sources	Poland	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://www.mdpi.com/2077-0383/14/8/2617	partial	yes	not_stated	not_stated	integration_or_fusion	improved_functioning		yes	no	yes	not_stated	yes	yes	not_stated
PRT_001	Bravo, J., Canelas da Silva, I., & Buta, F.	2023	Dissociative Identity Disorder: a case of three Selfs	European Psychiatry	10.1192/j.eurpsy.2023.2027		English	English-language sources	Portugal	Case report	case_report	Single Case	1	1	external_link_available	External record link available	https://doi.org/10.1192/j.eurpsy.2023.2027	not_stated	not_stated	not_stated	not_stated	not_stated	not_stated		no	no	no	no	no	no	not_stated
PRI_002	Martinez-Taboas A	1991	Multiple Personality in Puerto Rico: Analysis of Fifteen Cases	DISSOCIATION 4(4)			English	English-language sources	Puerto Rico	Case series	case_series	Large Case Series	15	15	restricted_local_source	Restricted local full text on file		yes	yes	mixed_or_variable	not_stated	not_stated	not_stated	5	yes	yes	no	yes	yes	yes	not_stated
ROU_001	Trifu, S.	2019	DID: Psychotic functioning and impairment of growing-up processes	J Educational Sciences and Psychology, 9(2):102-108			English	English-language sources	Romania	Case report	case_report	Single Case	1	1	restricted_local_source	Restricted local full text on file		partial	yes	not_stated	not_stated	integration_or_fusion	not_stated		no	no	no	not_stated	not_stated	not_stated	not_stated
